Generation,TotalFitness,BestFitness,,,Generation,TotalFitness,,,,,,,,,BestFitness
1,3425,58,,,1,3425,,,,,,,,,58
2,1773,53,,,2,1773,,,,,,,,,53
3,1846,53,,,3,1846,,,,,,,,,53
4,1949,69,,,4,1949,,,,,,,,,69
5,1997,93,,,5,1997,,,,,,,,,93
6,1994,57,,,6,1994,,,,,,,,,57
7,2048,66,,,7,2048,,,,,,,,,66
8,2130,134,,,8,2130,,,,,,,,,134
9,1963,112,,,9,1963,,,,,,,,,112
10,1951,66,,,10,1951,,,,,,,,,66
11,2271,117,,,11,2271,,,,,,,,,117
12,1938,94,,,12,1938,,,,,,,,,94
13,1891,59,,,13,1891,,,,,,,,,59
14,1933,61,,,14,1933,,,,,,,,,61
15,1891,65,,,15,1891,,,,,,,,,65
16,1921,55,,,16,1921,,,,,,,,,55
17,2007,96,,,17,2007,,,,,,,,,96
18,1899,55,,,18,1899,,,,,,,,,55
19,2211,115,,,19,2211,,,,,,,,,115
20,2296,113,,,20,2296,,,,,,,,,113
21,2203,116,,,21,2203,,,,,,,,,116
22,1897,119,,,22,1897,,,,,,,,,119
23,2171,116,,,23,2171,,,,,,,,,116
24,1863,53,,,24,1863,,,,,,,,,53
25,1905,66,,,25,1905,,,,,,,,,66
26,1942,69,,,26,1942,,,,,,,,,69
27,1950,68,,,27,1950,,,,,,,,,68
28,2064,112,,,28,2064,,,,,,,,,112
29,2063,111,,,29,2063,,,,,,,,,111
30,1982,95,,,30,1982,,,,,,,,,95
31,2026,114,,,31,2026,,,,,,,,,114
32,1849,67,,,32,1849,,,,,,,,,67
33,2955,229,,,33,2955,,,,,,,,,229
34,1945,62,,,34,1945,,,,,,,,,62
35,1994,53,,,35,1994,,,,,,,,,53
36,2142,68,,,36,2142,,,,,,,,,68
37,2348,121,,,37,2348,,,,,,,,,121
38,2338,168,,,38,2338,,,,,,,,,168
39,2623,154,,,39,2623,,,,,,,,,154
40,2236,120,,,40,2236,,,,,,,,,120
41,2236,171,,,41,2236,,,,,,,,,171
42,1897,55,,,42,1897,,,,,,,,,55
43,1946,64,,,43,1946,,,,,,,,,64
44,1978,62,,,44,1978,,,,,,,,,62
45,2128,67,,,45,2128,,,,,,,,,67
46,2535,236,,,46,2535,,,,,,,,,236
47,2084,116,,,47,2084,,,,,,,,,116
48,2646,172,,,48,2646,,,,,,,,,172
49,2140,97,,,49,2140,,,,,,,,,97
50,2968,115,,,50,2968,,,,,,,,,115
